datetime,last,bought,sold,bid_price_0,bid_amount_0,bid_price_1,bid_amount_1,bid_price_2,bid_amount_2,bid_price_3,bid_amount_3,bid_price_4,bid_amount_4,bid_price_5,bid_amount_5,bid_price_6,bid_amount_6,bid_price_7,bid_amount_7,bid_price_8,bid_amount_8,bid_price_9,bid_amount_9,bid_price_10,bid_amount_10,bid_price_11,bid_amount_11,bid_price_12,bid_amount_12,bid_price_13,bid_amount_13,bid_price_14,bid_amount_14,ask_price_0,ask_amount_0,ask_price_1,ask_amount_1,ask_price_2,ask_amount_2,ask_price_3,ask_amount_3,ask_price_4,ask_amount_4,ask_price_5,ask_amount_5,ask_price_6,ask_amount_6,ask_price_7,ask_amount_7,ask_price_8,ask_amount_8,ask_price_9,ask_amount_9,ask_price_10,ask_amount_10,ask_price_11,ask_amount_11,ask_price_12,ask_amount_12,ask_price_13,ask_amount_13,ask_price_14,ask_amount_14
2017-09-08T11:00:26.459,3914.15,0.20751752,0.0,3913.6,0.03369255,3913.55,0.07672725,3913.55,0.03,3913.5,0.025,3913.04,0.03,3913.03,0.1,3913.01,0.033178,3913.0,1.0,3912.61,0.03006105,3912.51,0.02,3912.5,0.456,3912.48,0.01,3911.03,0.25,3911.03,0.25,3911.02,0.031223,3914.15,0.63469602,3914.16,0.71015182,3914.17,0.33979068,3914.17,0.07307871,3914.17,4.80936659,3914.17,1.40706897,3914.17,0.36504816,3914.17,0.14277031,3914.17,0.1258004,3914.17,0.24049822,3914.17,0.09519807,3914.17,0.01336869,3914.32,0.06231558,3914.53,0.03459934,3914.59,0.01203528
2017-09-08T11:00:28.768,3914.15,0.0,0.0,3913.62,0.03,3913.61,0.1,3913.61,0.25,3913.6,0.03369255,3913.55,0.07672725,3913.5,0.025,3913.04,0.03,3913.03,0.01,3913.01,0.033178,3913.01,0.456,3913.01,0.02,3913.0,1.0,3912.61,0.03006105,3911.03,0.25,3911.03,0.25,3914.15,0.63469602,3914.16,0.71015182,3914.17,0.33979068,3914.17,0.07307871,3914.17,4.80936659,3914.17,1.40706897,3914.17,0.36504816,3914.17,0.14277031,3914.17,0.1258004,3914.17,0.24049822,3914.17,0.01336869,3914.32,0.06231558,3914.53,0.03459934,3914.59,0.01203528,3914.59,0.06263
2017-09-08T11:00:31.285,3914.15,0.0,0.0,3913.61,0.1,3913.6,0.03369255,3913.6,0.03,3913.55,0.07672725,3913.5,0.025,3913.04,0.03,3913.03,0.01,3913.01,0.456,3913.01,0.02,3913.0,1.0,3912.61,0.03006105,3911.03,0.25,3911.03,0.25,3911.02,0.031223,3911.0,0.63922271,3914.15,0.63469602,3914.16,0.71015182,3914.17,0.33979068,3914.17,0.07307871,3914.17,4.80936659,3914.17,0.36504816,3914.17,0.14277031,3914.17,0.24049822,3914.17,0.01336869,3914.32,0.06231558,3914.53,0.03459934,3914.59,0.01203528,3914.59,0.06263,3915.0,0.88975735,3915.0,0.05039871
2017-09-08T11:00:33.761,3914.15,0.0,0.0,3913.62,0.01,3913.6,0.03369255,3913.6,0.03,3913.55,0.07672725,3913.5,0.025,3913.06,0.03,3913.05,0.06857868,3913.01,0.456,3913.01,0.02,3913.01,0.033178,3913.0,1.0,3912.62,0.25,3912.61,0.03006105,3911.0,0.63922271,3910.11,0.25,3914.15,0.80486038,3914.16,0.71015182,3914.17,0.33979068,3914.17,0.07307871,3914.17,4.80936659,3914.17,0.36504816,3914.17,0.14277031,3914.17,0.24049822,3914.17,0.01336869,3914.32,0.06231558,3914.53,0.03459934,3914.59,0.01203528,3914.59,0.06263,3915.0,0.88975735,3915.0,0.05039871
2017-09-08T11:00:36.073,3914.15,0.0,0.0,3913.63,0.1,3913.63,0.25,3913.62,0.01,3913.55,0.07672725,3913.5,0.025,3913.06,0.03,3913.05,0.06857868,3913.01,0.456,3913.01,0.02,3913.01,0.033178,3913.0,1.0,3912.62,0.25,3912.61,0.03006105,3911.01,0.25,3911.0,0.63922271,3914.15,0.80486038,3914.16,0.71015182,3914.17,0.33979068,3914.17,0.07307871,3914.17,4.80936659,3914.17,0.36504816,3914.17,0.24049822,3914.17,0.01336869,3914.32,0.06231558,3914.53,0.03459934,3914.59,0.01203528,3914.59,0.06263,3915.0,0.88975735,3915.0,0.05039871,3915.0,0.02
2017-09-08T11:00:40.098,3914.15,0.05,0.0,3913.63,0.03369255,3913.63,0.01,3913.63,0.03,3913.55,0.07672725,3913.5,0.025,3913.06,0.03,3913.05,0.06857868,3913.01,0.456,3913.01,0.02,3913.01,0.033178,3913.0,1.0,3912.65,0.25,3912.64,0.03006105,3911.01,0.25,3911.0,0.63922271,3914.15,0.75486038,3914.16,0.71015182,3914.17,0.07307871,3914.17,0.24049822,3914.32,0.06231558,3914.53,0.03459934,3914.59,0.01203528,3914.59,0.06263,3915.0,0.88975735,3915.0,0.05039871,3915.0,0.02,3915.0,0.02555889,3915.43,1.0,3915.87,0.27092786,3916.0,0.1
2017-09-08T11:00:44.193,3914.15,0.0,0.0,3913.65,0.1,3913.55,0.07672725,3913.5,0.025,3913.5,0.03,3913.06,0.03,3913.05,0.456,3913.01,0.033178,3913.01,0.02,3913.0,1.0,3912.64,0.03006105,3911.02,0.0775789,3911.01,0.25,3911.01,0.25,3911.0,0.63922271,3909.41,0.25,3913.67,0.15,3914.15,0.79586038,3914.16,0.71015182,3914.17,0.07307871,3914.17,0.24049822,3914.32,0.06231558,3914.59,0.01203528,3914.59,0.06263,3915.0,0.88975735,3915.0,0.05039871,3915.0,0.02,3915.0,0.02555889,3915.42,0.14,3915.43,1.0,3915.87,0.27092786
2017-09-08T11:00:46.717,3914.15,0.0,0.0,3913.66,0.1,3913.66,0.25,3913.65,0.03369255,3913.55,0.07672725,3913.5,0.025,3913.5,0.03,3913.02,0.03,3913.01,0.033178,3913.0,1.0,3912.66,0.02,3912.65,0.456,3912.64,0.03006105,3911.03,0.25,3911.03,0.25,3911.02,0.0775789,3913.67,0.15,3914.15,0.79586038,3914.16,0.71015182,3914.32,0.06231558,3914.32,0.06263,3915.0,0.88975735,3915.0,0.05039871,3915.0,0.02,3915.0,0.02555889,3915.42,0.14,3915.43,1.0,3915.87,0.27092786,3916.0,0.1,3916.05,0.15549811,3917.39,0.25
2017-09-08T11:00:49.259,3914.15,0.0,0.0,3913.66,0.1,3913.66,0.25,3913.55,0.07672725,3913.5,0.025,3913.5,0.03,3913.02,0.03,3913.01,0.033178,3913.0,1.0,3912.67,0.02,3912.66,0.456,3912.64,0.03006105,3911.03,0.25,3911.03,0.25,3911.02,0.0775789,3911.0,0.63922271,3913.67,0.15,3914.15,0.79586038,3914.16,0.71015182,3914.32,0.06231558,3914.32,0.06263,3915.0,0.88975735,3915.0,0.05039871,3915.0,0.02,3915.0,0.02555889,3915.42,0.14,3915.43,1.0,3915.87,0.27092786,3916.0,0.1,3917.39,0.25,3917.4,0.15
2017-09-08T11:00:51.551,3914.15,0.0,0.0,3913.66,0.03369255,3913.66,0.1,3913.66,0.25,3913.55,0.07672725,3913.5,0.025,3913.5,0.03,3913.02,0.03,3913.01,0.033178,3913.0,1.0,3912.68,0.02,3912.67,0.456,3912.64,0.03006105,3911.03,0.25,3911.03,0.25,3911.02,0.0775789,3913.67,0.15,3914.15,0.79586038,3914.16,0.71015182,3914.32,0.06231558,3914.32,0.06263,3915.0,0.88975735,3915.0,0.05039871,3915.0,0.02,3915.0,0.02555889,3915.42,0.14,3915.43,1.0,3915.87,0.27092786,3916.0,0.1,3917.39,0.25,3917.4,0.15
