datetime,last,bought,sold,bid_price_0,bid_amount_0,bid_price_1,bid_amount_1,bid_price_2,bid_amount_2,bid_price_3,bid_amount_3,bid_price_4,bid_amount_4,bid_price_5,bid_amount_5,bid_price_6,bid_amount_6,bid_price_7,bid_amount_7,bid_price_8,bid_amount_8,bid_price_9,bid_amount_9,bid_price_10,bid_amount_10,bid_price_11,bid_amount_11,bid_price_12,bid_amount_12,bid_price_13,bid_amount_13,bid_price_14,bid_amount_14,ask_price_0,ask_amount_0,ask_price_1,ask_amount_1,ask_price_2,ask_amount_2,ask_price_3,ask_amount_3,ask_price_4,ask_amount_4,ask_price_5,ask_amount_5,ask_price_6,ask_amount_6,ask_price_7,ask_amount_7,ask_price_8,ask_amount_8,ask_price_9,ask_amount_9,ask_price_10,ask_amount_10,ask_price_11,ask_amount_11,ask_price_12,ask_amount_12,ask_price_13,ask_amount_13,ask_price_14,ask_amount_14
2017-09-08T09:54:13.132,3884.0,0.0,0.0,3883.88,0.01,3883.87,0.77081659,3883.78,0.03,3883.47,0.03,3883.46,0.77081659,3883.44,0.56316125,3883.39,0.04,3882.71,0.03,3882.71,0.517,3882.61,0.2,3882.43,0.01,3882.43,0.03,3879.26,0.25,3879.26,0.25,3879.25,0.78159751,3883.99,0.10392738,3884.06,0.03,3884.09,0.03,3885.39,0.01,3886.33,0.25,3886.33,0.23,3886.34,0.03859796,3887.55,0.25,3887.56,0.10392738,3887.58,0.07803448,3887.58,0.02713749,3887.89,0.25171694,3888.02,0.15417995,3888.4,0.02105333,3888.55,0.25
2017-09-08T09:54:15.717,3883.99,0.03,0.0,3883.45,0.03,3883.45,0.25,3883.44,0.56316125,3883.39,0.04,3883.01,0.01,3882.79,0.01,3882.77,0.01,3882.71,0.03,3882.61,0.2,3882.3,0.25,3879.26,0.25,3879.26,0.25,3879.25,0.78159751,3879.03,0.56315835,3879.01,0.033459,3885.1,0.03,3885.39,0.01,3885.78,0.01,3886.3,0.03,3886.31,0.23,3886.34,0.03859796,3887.54,0.25,3887.58,0.07803448,3887.58,0.02713749,3887.89,0.25171694,3888.02,0.15417995,3888.4,0.02105333,3888.55,0.25,3888.56,0.06933588,3888.6,0.04
2017-09-08T09:54:18.243,3883.99,0.0,0.0,3884.01,0.01,3884.0,0.25,3883.89,0.03,3883.79,1.57035038,3883.45,0.03,3883.45,0.25,3883.44,0.56316125,3883.39,0.04,3883.01,0.01,3882.71,0.03,3882.71,0.517,3882.61,0.2,3882.54,0.01,3879.6,0.25,3879.6,0.25,3884.07,0.03,3884.08,0.08952738,3884.19,0.03,3885.38,0.15417995,3885.39,0.01,3886.27,0.23,3886.27,0.25,3886.28,0.1,3886.34,0.03859796,3887.57,0.25,3887.58,0.07803448,3887.58,0.02713749,3887.89,0.25171694,3888.55,0.25,3888.56,0.06933588
2017-09-08T09:54:20.711,3883.99,0.0,0.0,3884.01,0.01,3884.0,0.25,3883.89,0.03,3883.8,0.033418,3883.79,1.57035038,3883.45,0.03,3883.45,0.25,3883.44,0.56316125,3883.39,0.04,3883.01,0.01,3882.71,0.03,3882.71,0.517,3882.61,0.2,3882.54,0.01,3879.36,0.78157535,3884.07,0.03,3884.07,0.23219955,3884.08,0.08952738,3884.19,0.03,3885.38,0.15417995,3885.39,0.01,3886.27,0.23,3886.27,0.25,3886.28,0.1,3886.34,0.03859796,3887.57,0.25,3887.58,0.02713749,3887.89,0.25171694,3888.5,0.02105333,3888.55,0.25
2017-09-08T09:54:22.841,3884.07,0.51359404,0.0,3884.03,0.03,3884.03,0.03,3884.02,0.23220271,3884.0,0.25,3883.8,0.033418,3883.79,1.57035038,3883.44,0.56316125,3883.39,0.04,3883.01,0.01,3883.01,0.517,3882.93,0.03,3882.84,0.01,3882.61,0.2,3880.0,0.78144643,3879.07,0.78517519,3885.37,0.03,3885.38,0.02231284,3885.39,0.01,3886.18,0.25,3886.34,0.03859796,3887.57,0.25,3887.58,0.02713749,3887.89,0.25171694,3888.56,0.06933588,3888.6,0.04,3888.61,0.29268153,3888.61,0.02640176,3888.65,0.15890975,3889.06,0.56456938,3889.11,0.08636737
2017-09-08T09:54:25.270,3884.07,0.0,0.0,3884.04,0.01,3884.03,0.23220211,3884.02,0.79055389,3884.0,0.25,3883.8,0.033418,3883.45,0.03,3883.44,0.56316125,3883.4,0.25,3883.39,0.04,3883.02,0.02,3883.01,0.01,3883.01,0.517,3882.93,0.03,3882.61,0.2,3882.55,0.01,3884.06,0.08412738,3884.27,0.03,3885.39,0.01,3886.33,0.25,3886.33,0.23,3886.34,0.03859796,3887.57,0.25,3887.58,0.02713749,3887.89,0.25171694,3888.55,0.25,3888.56,0.06933588,3888.6,0.04,3888.61,0.29268153,3888.61,0.02640176,3888.65,0.15890975
2017-09-08T09:54:27.776,3884.07,0.0,0.0,3884.05,0.01,3884.05,0.23220092,3884.02,0.79055389,3884.0,0.25,3883.9,0.03,3883.8,0.033418,3883.45,0.03,3883.44,0.56316125,3883.02,0.02,3883.02,0.517,3883.01,0.01,3882.93,0.03,3882.61,0.2,3882.55,0.01,3882.25,0.04,3884.06,0.08412738,3884.27,0.03,3885.39,0.01,3885.39,0.03,3886.34,0.03859796,3887.57,0.25,3887.58,0.02713749,3887.89,0.25171694,3888.52,0.04,3888.54,0.25,3888.56,0.06933588,3888.61,0.29268153,3888.61,0.02640176,3889.06,0.56456938,3889.11,0.08636737
2017-09-08T09:54:29.954,3884.07,0.0,0.0,3884.05,0.01,3884.05,0.23220092,3884.05,1.61329021,3884.05,1.17368059,3884.0,0.25,3883.8,0.033418,3883.47,0.03,3883.46,0.25,3883.45,0.03,3883.03,0.517,3883.02,0.02,3883.01,0.01,3882.93,0.03,3882.66,0.01,3882.66,0.03,3884.26,0.06801246,3885.1,0.03,3885.39,0.01,3886.32,0.13044387,3886.34,0.03859796,3887.55,0.25,3887.56,0.1,3887.58,0.02713749,3887.89,0.25171694,3888.52,0.04,3888.56,0.06933588,3888.61,0.29268153,3888.61,0.02640176,3889.05,0.25,3889.06,0.56456938
2017-09-08T09:54:32.700,3884.07,0.0,0.0,3884.07,0.01,3884.07,0.23219972,3884.05,1.61329021,3884.05,1.17368059,3884.0,0.25,3884.0,0.03,3883.8,0.033418,3883.47,0.03,3883.46,0.25,3883.45,0.03,3883.02,0.02,3883.02,0.517,3883.01,0.01,3882.93,0.03,3882.76,0.03,3884.26,0.06801246,3884.27,0.03,3885.39,0.01,3886.32,0.13044387,3886.34,0.03859796,3887.55,0.25,3887.55,0.23,3887.56,0.1,3887.58,0.02713749,3887.88,0.25,3887.89,0.25171694,3887.98,0.02105333,3888.52,0.04,3888.56,0.06933588,3888.61,0.02640176
2017-09-08T09:54:34.923,3884.07,0.0,0.0,3884.1,0.01,3884.08,0.03,3884.08,0.03,3884.07,0.23219972,3884.06,1.61311578,3884.0,0.25,3883.8,0.033418,3883.46,0.25,3883.45,0.03,3883.02,0.02,3883.02,0.517,3883.01,0.01,3882.93,0.03,3882.84,0.01,3882.63,0.25,3885.1,0.03,3885.39,0.01,3886.33,0.25,3886.34,0.03859796,3887.58,0.02713749,3887.89,0.25171694,3887.98,0.02105333,3888.56,0.06933588,3888.61,0.02640176,3889.06,0.56456938,3889.11,0.08636737,3889.12,0.02749109,3889.45,0.03130116,3889.58,0.01217479,3889.8,0.02791646
